Country,Scale,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3
Canada,Millions,467345,488985,524490,514078,472379,487051,521592,509419,475252,490410,530194,529679,499834,524426,559074,557307,522856,548913,588247,571152,539597,568622,603492,599001,541989,489101,582406,591409,572287,...,...
Chile,Millions,"36053975,6","36621668,9","35789140,5","40134668,9",39187935,"39521067,2","38266277,6","42578068,5","41970697,6","41442998,5","40776259,2","45347432,5","43535296,2","43969991,6","43794093,8","48450079,7","47123723,4","47286694,6","45634824,8","50780580,4","48668343,3","48772281,5","47677210,9",51261497,"51062276,3","45941416,9","47546191,6","55962551,4",56466940,"57766644,7",60144649
"China, P.R.: Hong Kong",Millions,535907,526194,580793,617111,572160,565750,614251,646119,590556,585135,636333,678414,631418,628277,679352,720337,684538,673760,723228,753593,702610,688917,713819,739214,656000,630053,692612,709871,702948,678475,734947
Colombia,Millions,"180412518,42","183072373,18","193080812,97","206337295,43","188325418,12","190719325,67","206431097,11","219216159,09","202084918,27","206715259,56","218354642,93","236627179,24","216202769,14","219615891,57","233794403,33","250857935,96","230416169,01","236022230,73","251232226,9","268260373,36","245414429,81","255020996,64","270632580,56","290661524,53","257941438,4","215000202,34",...,...,...,...,...
Costa Rica,Millions,"6957737,1","6779597,5","6853189,6","7410803,4","7562030,1","7354401,7","7368019,7","7887467,4","8025294,6","7781370,8",7785869,"8463753,8","8581161,3","8372912,8","8355661,2","9033912,2","9083431,9","8854948,4","8742031,8","9334306,7","9543332,1","9159951,8","9139739,7","9786627,4","9757496,3","8267576,7","8590036,9","9559194,7","9522740,8","9241053,2",...
"Croatia, Rep. of",Millions,"75122,73","84879,5","92204,49","83085,43","76382,15","86701,42","95686,46","85264,39","78736,87","89157,24","99269,95","88756,27","81514,46","93250,34","104808,5","92781,56","84992,71","98609,53","110174,16","97079,58","90691,17","103760,47","115575,28","102201,39","93264,24","88332,25","101328,54","95423,97","93404,64","105693,91","123799,19"
Cyprus,Millions,"4169,4","4414,3","4497,5",4349,"4198,8","4514,6","4594,6","4575,7","4387,1","4754,1",4870,4918,"4751,3","5100,7","5211,7","5181,5","5074,9","5522,8","5511,3","5503,6","5393,8",5844,"5968,9","5803,2","5469,2","4995,1","5612,3","5471,7","5370,1","5776,1","6030,7"
Czech Rep.,Millions,997951,1088654,1116501,1142660,1066579,1163326,1184154,1211319,1114961,1215075,1216961,1249876,1168642,1285296,1305042,1351763,1247835,1358981,1374728,1428121,1333740,1450836,1482851,1522921,1370941,1348751,1460323,1514608,1385261,1535932,1569717
Denmark,Millions,"479593,6","495208,5","493651,7","512711,1","495858,1","513524,8","505857,9","521115,4","504761,2","534094,7","521505,8","547446,5","530588,2",558361,"541099,1","562911,7","538636,7","569295,4","560166,4","585217,7","558189,9",584951,"576718,4","598182,7","576548,2","561294,1","584000,4","607718,8","579612,5","625156,7","626159,7"
Ecuador,Millions,"24831,49","25543,28","25942,91","25408,65","25052,74","25086,2","24779,74","24371,71","24913,57","24926,19","24910,74","25187,2","26000,26","25993,55","25960,91","26341,14","26510,61","26761,83","27078,4","27211,17","26914,9","27058,33","27054,76","27080,02","26321,79","23567,53","24166,76",...,...,...,...
El Salvador,Millions,"5431,12","5703,06","5592,72","5866,58","5613,83","5867,32","5831,96","6125,13","5690,32","6177,99","5966,1","6357,03","5938,98","6274,42","6152,2","6613,6","6203,12","6571,08","6467,9","6875,3","6454,95","6766,98","6711,04","7089,67",...,...,...,...,...,...,...
"Estonia, Rep. of",Millions,"4628,22","5074,47","5063,41","5282,13","4731,63","5242,99","5254,72","5402,03","5073,17","5445,63","5466,56","5762,54","5423,18","6043,6","5982,75","6384,1","5854,64","6468,02","6509,14","6985,88","6387,66","6948,79","7028,88","7366,96","6382,5","6335,77","6828,95","7287,3","6706,33","7417,95","7912,81"
Euro Area,Millions,"2463832,57","2530257,52","2537584,57","2636868,62","2537958,39","2618515,88","2628626,87","2737014,5","2612118,81","2706918,57","2691256,8","2805897,27","2708034,63","2791763,34","2797504,54","2925107,41","2807302,95","2893256,8",2881893,"3017779,35","2904710,49","2982797,22","2990609,95","3104614,37","2868476,19","2612884,33","2897894,79","3021152,73","2878899,52","3009065,28","3093320,53"
Finland,Millions,49325,52107,51437,54028,49981,53433,52413,55558,51546,54892,54097,56983,53773,56968,56004,59556,55736,58910,57748,61074,57170,60690,59651,62586,58225,57414,58509,62021,57644,62756,62993
France,Millions,531113,536417,528571,553664,543045,549068,540212,566107,553839,561665,545477,573148,565866,573569,563513,594294,582405,588014,580026,612860,600940,610200,601051,625444,580690,523360,584035,614775,599910,613133,615745
Georgia,Millions,"6561,22","7545,65","8206,35","8810,88","7048,02","8430,94","8998,9","9457,15","7581,86","8787,32","9464,09","10002,75","8662,42","9868,13","10940,55","11290,57","9551,45","10935,75","11850,94","12261,2","10083,99","11949,93","13324,14","13894,6","11055,04","11113,98","13331,21","13907,03","11275,67","15912,66",...
Germany,Millions,716700,717360,740720,752650,737210,741980,765670,781320,762950,779080,788980,803730,798840,801190,823940,843190,824400,833720,842900,866840,852620,852190,876750,891790,859810,774060,853380,880310,847110,863220,913790
Greece,Millions,"40841,57","43920,13","46728,9","45745,37","40786,59","44046,28","45493,66","46042,33","39941,39","43768,3","45751,24","45033,25","40511,02","44223,08","47393,7","44775,57","41116,68","44873,35","48095,34","45472,31","41472,7","46049,91","49870,4","45857,39","40590,58",37885,"44490,88","42359,97","39349,17","44555,12","51754,2"
Guatemala,Millions,"109535,19","109432,8","111307,31","117051,02","117936,28","116154,42","118709,95","123222,17","123888,71","122802,84","124480,4","130829,76","131713,95","127597,42","130253,62","136942,42","136636,63","134563,34","136385,1","142884,91","145019,32","145184,47","147656,17",154940,"150842,35","136584,96","149648,1","162160,4","161992,67","159498,77",...
Hungary,Millions,7222272,8108145,8505106,8979683,7659575,8557023,8968914,9789802,7925040,9039993,9295203,9953829,8533697,9698923,10081265,10967473,9365679,10677254,11206734,12142769,10357156,11752210,12232190,13189054,11028351,10886334,12329678,13744116,11448893,13376752,13837283
Iceland,Millions,"470943,35","504708,63","561276,86","549430,77","541080,58","580058,8","604416,25","585292,15","566563,94","618723,53","676157,84","650609,52","597261,38","649680,16","713008,99","682008,87","657513,1","707871,97","748391,66","730950,9","685703,84","763414,37","800838,75","797770,39","701697,39","706737,53","747578,11","785085,96","727759,17","790486,4","844886,85"
India,Millions,29104480,30565790,"31753319,06","32996279,75",32416910,"33540934,12","34749284,56","36933237,81","35984915,63","37153459,96",38651620,41130150,"40074534,65",41721220,"43261045,61","45926240,82","45655925,07","46531777,6","48676981,9","48004890,82","50042093,09","49429395,19","51829966,37","52208671,58","38931151,46",47377727,"54564029,87",...,...,...,...
Indonesia,Millions,2506300200,2618947300,2746762400,2697695400,2728180700,2867948400,2990645000,2939558700,2929269000,3073536700,3205019000,3193903800,3228172200,3366787300,3504138500,3490727700,3510363100,3686836400,3842343000,3799213500,3782626800,3964191200,4067226600,4018490800,3922556800,3687806700,3894617100,3929171200,3970449400,4175901400,4325436900
Ireland,Millions,"46448,91","48245,93","50535,33","49703,59","63280,51","62947,86","67868,54","68703,13","64423,47","63266,08","68540,66","73827,89","69271,36","69679,22","77295,82","80678,82","79310,49",78151,"84578,09","84003,23","86107,44","84701,19","93185,32","92532,32","93183,22","84561,82","100959,85","94163,61","101517,43","100551,78","114094,98"
Israel,Millions,"271168,1","274149,8","277862,8","289357,5","287565,7","290408,2","289062,8","299317,5","297564,4","301847,3",310764,"315059,8",311293,"316972,9","320495,2","330079,8","326530,8","330701,4","336803,2","347545,3","347366,8","347702,1",358018,"365361,9","353619,4",325448,"355393,8","366945,1","355855,4","383276,9",384145
Italy,Millions,"386521,7","405713,2","404527,2","430643,4","389670,1","412547,7","413153,2","439984,1","401551,2","424052,1",421535,"448648,4","411186,9","432576,1","430452,7",462377,"422359,4",442438,"436876,7","469717,2","427888,1",446148,"444854,6","476044,2",402460,373587,"424584,1","452946,2","409786,8","436575,5","443330,5"
Japan,Millions,128494500,127784100,126773100,135759400,133101800,132896800,131973200,140060500,135808800,134271600,132635600,141648600,136271300,136011800,135787200,145002700,138920200,137897300,135152200,144324000,138930100,138543300,136952800,144065000,137745300,126258900,131012800,143138500,135099800,133923100,130981100
"Korea, Rep. of",Millions,373559700,388566900,393425400,407377000,394273000,411386800,420790800,431569800,413495100,434536300,439479800,453268400,433094700,454228300,473425600,474949700,449207100,472816300,485732500,490436700,455648800,480845000,488722200,499282000,459481400,474083400,493519300,506068300,480411900,510299900,524998800
"Kosovo, Rep. of",Millions,"1101,98","1359,44","1477,41","1386,3","1179,85","1440,73","1581,29","1472,56","1263,74","1546,98","1673,76","1552,8","1320,83","1638,09","1773,86","1623,67","1395,56","1720,28","1843,03","1712,65","1474,02","1818,09","1953,91","1810,14","1497,26","1594,32","1834,15","1845,84","1581,63","1902,65","2206,8"
Latvia,Millions,"5306,38","5876,77","6150,16","6292,49","5473,63","6157,38","6451,76","6489,36","5655,81","6336,31","6575,07","6804,14","5956,48","6741,06","7073,19","7213,7","6298,11","7318,32","7680,8","7856,34","6801,43","7695,31","8091,11","8059,38","6775,68","6953,66","7834,77","7946,86","6837,02","8108,8","8852,25"
Lithuania,Millions,"8187,2","9209,08","9899,79","9285,24",8212,"9366,88","10131,13","9635,69","8564,72","9742,84","10473,36","10108,95","9313,93","10490,98","11455,39",11016,"10012,89","11291,66","12151,72","12058,53","10800,45","12152,48","13044,14","12862,8","11373,85","11722,29","13401,04","13010,04","11919,02","13522,66","15061,82"
Luxembourg,Millions,"12413,01","12623,15","12751,73","14003,44","13200,05","13482,19","13131,72","14328,51","13381,71","13747,86","13922,44","15156,06","13830,91","14429,78","14217,36","15690,74","14321,09","14888,36","14899,64","16253,11","14562,22","15632,63","15516,02","16993,3","15312,79","15070,08","15930,09","17908,17","16875,2","17881,23","18268,93"
Malta,Millions,"2035,62","2163,86","2301,92","2249,69","2325,56","2490,11","2622,73","2558,31","2458,93","2607,81","2760,09","2674,5","2809,85","2971,86","3140,3","3028,74","2987,48","3228,17","3440,95","3311,23","3266,45","3509,77","3679,96","3600,2","3375,06","3034,5","3311,47","3362,31","3383,49","3527,13","3705,87"
Mauritius,Millions,90515,96802,97155,107590,95623,100197,102148,111924,101639,106372,108007,118747,106751,112896,112745,124809,112264,119926,117969,131097,117270,124221,123165,133618,116891,84189,...,...,...,...,...
Mexico,Millions,"4192553,5","4356931,4","4365238,7",4569582,4444949,"4625424,8","4672510,1","4829225,5","4743232,4","4996227,4","5040722,1","5348875,4","5331021,4","5452301,2",5431361,"5719483,9","5667657,6","5911854,1","5847937,4","6096941,1","5990381,9","6101937,1","6097771,8","6263205,5","6165807,2","5038344,1",5853880,"6299346,5","6272918,5","6552771,6","6516070,2"
"Moldova, Rep. of",Millions,"25632,58","31383,37","40774,62","35691,07","29177,61","34115,62","42949,06","39511,35","32330,65","37571,47","47568,56","43343,89","35132,54","40701,45","54233,51","48813,39","37908,3","44693,63","58217,29","51689,33","41214,96","49758,51","64410,44","54967,17","43685,33",...,...,...,...,...,...
Montenegro,Millions,"663,64","800,42","1125,02","868,85","686,3","859,34","1189,22","919,65","729,5","920,47","1291,33","1012,92","783,81","1008,27","1416,29","1090,72","848,71","1108,23","1531,06","1175,14","890,7","1160,64","1646,51","1252,87","916,36","900,85","1210,91","1157,43","875,29","1128,72","1583,22"
"Netherlands, The",Millions,164432,169898,163863,173367,166535,175441,170501,177531,171335,179918,174235,182849,178225,187838,181702,190381,188022,196711,190249,199005,197442,207286,199768,208559,201819,191724,198696,207856,201249,216819,214547
New Zealand,Millions,60222,59147,57853,63680,61990,62069,60923,66700,65647,65433,64426,71114,70298,69700,69317,77096,74691,74535,73015,80370,78406,78376,77755,85570,82266,73143,81080,87390,85633,87844,82652
"North Macedonia, Republic of",Millions,"120689,72","134262,15","134107,44","138571,69","128439,38","138813,89","143586,62","148113,73","135707,09","146029,49","154078,8","158979,42","143436,12","150671,58","159616,72","164381,27","151105,43","162905,33","167471,46","179395,97","156168,02","170946,55","176796,76","185513,41","160681,09","143918,4","171596,08","187814,18","162704,5","172900,1",...
Norway,Millions,795088,770454,763222,812050,778574,779478,762868,790248,750075,778950,744363,824760,831993,803069,788521,871799,863316,881064,866288,943232,901848,873246,851138,937252,890310,789252,822700,908137,923743,954738,1027576
Paraguay,Millions,"45091738,5","43924386,04","43118038,68","48039897,74","46335230,22","45783721,12","45927385,99","50430989,65","49313793,43",49470526,"51224527,25","54638426,4","55005391,14","52606409,35","53511254,11","57999222,61","58316904,83","57183850,27","54583175,52","60492546,85","58615540,73","56559560,04","57584513,01","63807089,85","62010243,92","53895183,82","58561584,11","67060073,88","65128722,76",...,...
Philippines,Millions,"3035914,96","3296724,14","3174415,96","3699773,19","3204277,05","3493899,84","3330582,62","3915397,94","3437649,72","3791145,29","3644978,9","4258607,56","3745533,03","4153954,14","4017921,78","4639242,14","4101138,01","4568791,82","4450212,83","5145047,61","4422950,88","4857262,38","4729028,45","5507176,56","4473249,6",...,...,...,...,...,...
"Poland, Rep. of",Millions,"396634,7","416337,9","423147,9","475123,7","414810,9","434588,4","440965,8","510746,9","430411,3","451043,3","455789,3",526243,"458677,9","479296,2","491469,1","560391,4",488230,509006,"526563,4","597755,6","527737,2","555227,7","569870,4",640364,"559666,2","529595,7","584354,2","653040,4","587350,7","617032,3","647462,2"
Portugal,Millions,"41069,01","43644,07","44390,53","43950,08","42849,1","45445,38","45983,07","45435,61","44687,97","47011,7","47638,58","47151,56","46646,14","49343,7","49945,46","50011,91","48609,67","51366,8","52348,94","52858,72","51076,74","53731,18","54451,13","55115,57","50682,83","45607,6","51483,84","52313,31","48439,89","52669,72","54446,79"
Qatar,Millions,196893,189357,188804,175604,152296,148855,145954,141628,130892,134312,141077,146024,"145986,57","140973,58","144588,41","154852,24","160151,75","162958,73","171916,89","172311,87","163192,77","158552,89","160093,77","160151,98","150691,29","114879,58","125324,71","134761,79","148277,44","156310,33",...
Romania,Millions,"129532,8","156932,9","184502,6","198735,6","139809,6","162825,6","197342,6","211952,1","146977,1","179192,5","207632,9",229850,"164727,8","197201,4","237636,6","258329,9","180660,3","220882,1","264044,4","286141,7","202551,8","247420,9","289592,8","319407,7",218114,"225568,4","284514,4",327352,225051,"271202,7","322788,7"
Russian Federation,Millions,"17311393,6","19044189,4","20544004,2","22130452,9","18467912,8",19751015,"21788589,4","23079842,9","18885121,1","20452234,6","22235115,2","24043612,8","20586119,1","21917573,8","23718216,2","25621245,2","22845267,3",25225572,"27508923,9","29049874,5","24944791,2","26410242,4","28875418,6","29815599,4","25317665,7","23288183,9",...,...,...,...,...
Rwanda,Millions,1355000,1395000,1437000,1436000,1465000,1501000,1568000,1617000,1662000,1711000,1696000,1778000,1846000,1917000,1943000,1988000,2027000,2056000,2077000,2138000,2151000,2346000,2356000,2460000,2410000,2177000,2596000,2563000,...,...,...
Saudi Arabia,Millions,"746219,9","726232,1","723184,2","640677,2","642110,4",633737,"606991,2","570673,2","576101,5","600753,7","605080,5","636572,7","634716,4","624765,6","644513,4","678202,5","699190,6","738850,8",745062,"766353,8","718543,1","740031,8","745369,3","769681,4",695570,"564211,1",668098,"697562,9","706409,8","735033,9",...
"Serbia, Rep. of",Millions,"959647,72","1031703,87","1052365,73","1116831,14","976762,13","1075859,33","1099389,08","1163009,87","1027236,5","1122564,87",1159400,"1218990,51","1078957,89","1180080,01","1220203,63","1281444,83","1153023,65","1262944,78","1306236,42","1350727,4","1208337,95","1337500,83","1403347,09","1472665,44","1312505,44","1280746,47","1411462,89","1497501,47","1365563,04","1532010,96","1626609,07"
Singapore,Millions,"97120,8","98340,9","99544,7","103941,5","103265,1","104436,6","106263,8","109478,6",106010,"107670,7","109770,3","116767,2","115703,6","114447,3","116683,2",125245,"120635,1","123701,7",127699,"131359,4","125745,4","125250,6","127910,5","128661,2",...,...,...,...,...,...,...
Slovak Rep.,Millions,"17523,9","18967,73","20098,57","19502,47","18258,64","19886,22","21079,4","20663,89","18636,99","20279,2","21176,64","20921,41","19197,18","21118,05","22194,05","21933,58","20274,08","22451,67","23673,49","23030,79","21672,84","23608,02","24559,68","24207,5","21642,68","21533,95","24577,76","24324,86","21818,83","24077,68","25637,22"
"Slovenia, Rep. of",Millions,"8785,64","9659,25","9687,91","9501,5","9046,14","9852,73","9975,65","9978,12","9392,43","10294,85","10371,03","10384,92","9884,13","10872,93","11015,57","11238,71","10560,34","11534,32","11837,13","11932,46","11198,87","12154,59","12512,35","12530,89","11348,49","10987,09","12307,74","12274,72","11683,14","13049,57","13390,75"
South Africa,Millions,"991281,8","1030616,7","1046828,4","1065146,2","1058149,6","1106056,5","1115422,6","1141163,9","1136270,4","1200075,5","1204502,6",1218706,"1207915,8","1266805,7","1288602,9","1314865,5","1266554,4","1333426,1","1364164,8","1393494,8","1327230,5","1399516,9","1423795,7","1454490,7","1408856,2","1208499,2","1404540,1","1499179,6","1453957,8",1543106,"1565697,2"
Spain,Millions,248197,260733,254780,268448,257233,272132,266375,281850,265844,281788,275793,290415,276574,294157,287429,303707,286562,304836,296887,314974,299029,315507,305611,324228,289305,251187,282149,299307,279459,299407,294657
Sweden,Millions,951259,1023626,968754,1049091,1010436,1092097,1032860,1125077,1048249,1136446,1058650,1171686,1105408,1189190,1107748,1222748,1156753,1248459,1147430,1275664,1215483,1297178,1213808,1323150,1241961,1217017,1199106,1326720,1258276,1363105,1301619
Switzerland,Millions,"163431,48","167991,92","168639,84","172754,97","164653,25","168369,43","169421,28","173291,69","166919,48","171784,57","171732,25","175004,68","168653,14","171953,86","173899,99","179187,14","174351,46","180995,02","179628,05","184297,09","177837,21","181859,15","181627,4","185888,38","176329,02","168547,86","178419,26","182945,68","177684,13","185768,76","188822,44"
Thailand,Millions,3242406,3201463,3265423,3430302,3396947,3349240,3463082,3706720,3665551,3582002,3686458,3881990,3848167,3738859,3929213,4068114,4040435,3910213,4088775,4179602,4197303,4061782,4205391,4265110,4137097,3479970,3919056,4070340,4044904,...,...
Turkey,Millions,"454056,29","490144,36","551348,08","559349,11","500472,61","566138,63","634505,32","649824,78","567941,67","635574,64","670483,69","752559,72","654453,58","740272,38","839912,11","899066,19","796446,45","898233,34","1036750,26","1027343,68","925663,41","1030126,78","1157445,87","1204550,85","1071223,32","1037692,32","1413882,66",1524085,"1392657,56","1586469,09","1915467,41"
Ukraine,Millions,316905,382391,440476,447143,375991,456715,566997,588841,455298,535701,671456,722912,591765,664307,833640,891515,706141,809938,994728,1049495,820006,932459,1111962,1112771,853685,874618,1162389,1301172,1008562,1169438,...
United Kingdom,Millions,467545,464902,466991,476724,479773,481292,481588,492559,497927,500679,500645,517387,521090,517557,520382,538114,535685,536616,542782,559297,561009,554257,563283,576734,566926,485734,538025,561961,557484,571803,584928
United States,Millions,4203940,4360754,4454942,4531052,4389973,4556248,4605088,4654715,4496788,4666051,4720618,4811649,4649998,4859113,4923731,5046781,4922068,5133858,5188286,5282947,5116745,5344896,5398173,5512768,5224481,4876877,5302337,5490052,5367754,5711844,5822816
Uruguay,Millions,...,...,...,...,...,...,...,...,"427384,44","431106,06","416658,51","451257,23","460234,73","454150,65","447443,24","480170,31","490574,31","486557,09","484441,86","520670,64","521628,11","539436,97","530844,47","576623,02","555473,29","533833,63","545774,68",...,...,...,...
West Bank and Gaza,Millions,"3171,8","3309,8","3188,7","3045,3","2936,3","3183,8","3216,4","3336,5","3756,7","3885,1","3936,3","3827,3","3799,4","4057,5","4144,5","4126,6",4052,"3987,4",4090,"4147,2","4139,2","4177,5","4300,5","4441,5","4224,9",...,...,...,...,...,...
